,first_name,genders,use,descriptions
42,Alcides,m,Greek Mythology (Latinized),"Alcides m Greek Mythology (Latinized), Portuguese, SpanishLatinized form of Greek Ἀλκείδης (Alkeides), derived from ἀλκή (alke) meaning ""strength"" and the patronymic suffix ἴδης (ides). This was another name for the hero Herakles."
43,Alcippe,f,Greek Mythology (Latinized),"Alcippe f Greek Mythology (Latinized)From Greek Ἀλκίππη (Alkippe), derived from ἀλκή (alke) meaning ""strength"" and ἵππος (hippos) meaning ""horse"". This was the name of a daughter of Ares in Greek myth. Her father killed Halirrhotis, a son of Poseidon, when he attempted to rape her, leading to a murder trial in which Ares was quickly acquitted."
44,Alcmene,f,Greek Mythology (Latinized),"Alcmene f Greek Mythology (Latinized)From Greek Ἀλκμήνη (Alkmene), derived from ἀλκή (alke) meaning ""strength"" combined with μήνη (mene) meaning ""moon"" or μῆνις (menis) meaning ""wrath"". In Greek mythology Alcmene was the wife of Amphitryon. She was the mother of Herakles by Zeus, who bedded her by disguising himself as her absent husband."
45,Alcyone,f,Greek Mythology (Latinized),"Alcyone f Greek Mythology (Latinized)Latinized form of Greek Ἀλκυόνη (Alkyone), derived from the word ἀλκυών (alkyon) meaning ""kingfisher"". In Greek myth this name belonged to a daughter of Aeolus and the wife of Ceyx. After her husband was killed in a shipwreck she threw herself into the water, but the gods saved her and turned them both into kingfishers. This is also the name of the brightest of the Pleiades, the seven stars in the constellation Taurus."
46,Alecto,f,Greek Mythology (Latinized),"Alecto f Greek Mythology (Latinized)Latinized form of Greek Ἀληκτώ (Alekto), which was derived from ἄληκτος (alektos) meaning ""unceasing"". This was the name of one of the Furies or Ἐρινύες (Erinyes) in Greek mythology."
47,Alekto,f,Greek Mythology,Alekto f Greek MythologyGreek form of Alecto.
48,Alexander,m,English,"Alexander m English, German, Dutch, Swedish, Norwegian, Danish, Icelandic, Hungarian, Slovak, Biblical, Ancient Greek (Latinized), Greek Mythology (Latinized)Latinized form of the Greek name Ἀλέξανδρος (Alexandros), which meant ""defending men"" from Greek ἀλέξω (alexo) meaning ""to defend, help"" and ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός). In Greek mythology this was another name of the hero Paris, and it also belongs to several characters in the New Testament. However, the most famous bearer was Alexander the Great, king of Macedon. In the 4th century BC he built a huge empire out of Greece, Egypt, Persia, and parts of India. Due to his fame, and later medieval tales involving him, use of his name spread throughout Europe.... [more]"
49,Alexandra,f,English,"Alexandra f English, German, Dutch, French, Swedish, Norwegian, Danish, Icelandic, Greek, Portuguese, Romanian, Czech, Slovak, Hungarian, Catalan, Spanish, Italian, Russian, Ukrainian, Ancient Greek, Greek MythologyFeminine form of Alexander. In Greek mythology this was a Mycenaean epithet of the goddess Hera, and an alternate name of Cassandra. It was borne by several early Christian saints, and also by the wife of Nicholas II, the last czar of Russia. She was from Germany and had the birth name Alix, but was renamed Александра (Aleksandra) upon joining the Russian Church."
50,Alexandros,m,Greek,"Alexandros m Greek, Ancient Greek, Biblical Greek, Greek MythologyGreek form of Alexander."
51,Alf 1,m,Swedish,"Alf 1 m Swedish, Norwegian, Danish, Norse MythologyDerived from Old Norse alfr meaning ""elf"". In Norse legend this was the name of king, the suitor of a reluctant maiden named Alfhild. She avoided marrying him by disguising herself as a warrior, but when they fought she was so impressed by his strength that she changed her mind."
52,Alfr,m,Norse Mythology,Alfr m Norse MythologyOld Norse form of Alf 1.
53,Alkeides,m,Greek Mythology,Alkeides m Greek MythologyGreek form of Alcides.
54,Alkippe,f,Greek Mythology,Alkippe f Greek MythologyGreek form of Alcippe.
55,Alkmene,f,Greek Mythology,Alkmene f Greek MythologyAncient Greek form of Alcmene.
56,Alkyone,f,Greek Mythology,Alkyone f Greek MythologyAncient Greek form of Alcyone.
57,Althea,f,Greek Mythology (Latinized),"Althea f Greek Mythology (Latinized)From the Greek name Ἀλθαία (Althaia), perhaps related to Greek ἄλθος (althos) meaning ""healing"". In Greek myth she was the mother of Meleager. Soon after her son was born she was told that he would die as soon as a piece of wood that was burning on her fire was fully consumed. She immediately extinguished the piece of wood and sealed it in a chest, but in a fit of rage many years later she took it out and set it alight, thereby killing her son."
58,Alvis,m,Norse Mythology,"Alvis m Norse Mythology, LatvianFrom the Old Norse Alvíss meaning ""all wise"". In Norse mythology this was the name of a dwarf who was to marry Thor's daughter Thrud. Thor was not pleased with this so he tricked Alvis by asking him questions until the sun rose, at which time the dwarf was turned into stone."
59,Alvíss,m,Norse Mythology,Alvíss m Norse MythologyOld Norse form of Alvis.
60,Amalthea,f,Greek Mythology (Latinized),"Amalthea f Greek Mythology (Latinized)From the Greek Ἀμάλθεια (Amaltheia), derived from μαλθάσσω (malthasso) meaning ""to soften, to soothe"". In Greek myth she was a nymph (in some sources a goat) who nursed the infant Zeus."
61,Amaltheia,f,Greek Mythology,Amaltheia f Greek MythologyGreek form of Amalthea.
62,Amaterasu,f,Japanese Mythology,"Amaterasu f Japanese MythologyMeans ""shining over heaven"", from Japanese 天 (ama) meaning ""heaven, sky"" and 照 (terasu) meaning ""shine"". This was the name of the Japanese sun goddess, the ruler of the heavens. She was born when Izanagi washed his left eye after returning from the underworld. At one time the Japanese royal family claimed descent from her."
63,Amen,m,Egyptian Mythology (Anglicized),Amen m Egyptian Mythology (Anglicized)Variant of Amon.
64,Ameretat,f,Persian Mythology,"Ameretat f Persian MythologyMeans ""immortality"" in Avestan. This was the name of a Zoroastrian goddess (one of the Amesha Spenta) of plants and long life."
65,Amirani,m,Georgian Mythology,"Amirani m Georgian MythologyMeaning unknown, probably of Proto-Kartvelian origin. This is the name of a hero from Georgian mythology whose story is similar to that of Prometheus from Greek mythology."
66,Ammon,m,Egyptian Mythology (Hellenized),Ammon m Egyptian Mythology (Hellenized)Greek form of Egyptian Yamanu (see Amon).
67,Amon,m,Egyptian Mythology (Anglicized),"Amon m Egyptian Mythology (Anglicized)From Ἄμμων (Ammon), the Greek form of Egyptian jmn (reconstructed as Yamanu) meaning ""the hidden one"". In early Egyptian mythology he was a god of the air, creativity and fertility, who was particularly revered in Thebes. Later, during the Middle Kingdom, his attributes were combined with those of the god Ra and he was worshipped as the supreme solar deity Amon-Ra."
68,Amon-Ra,m,Egyptian Mythology (Anglicized),Amon-Ra m Egyptian Mythology (Anglicized)Combination of the names of the gods Amon and Ra. During the later Middle Kingdom the attributes of these two deities were merged.
69,Amor,m,Roman Mythology,"Amor m & f Roman Mythology, Late Roman, Spanish (Rare), Portuguese (Rare)Means ""love"" in Latin. This was another name for the Roman god Cupid. It also means ""love"" in Spanish and Portuguese, and as a feminine name it can be derived directly from this vocabulary word."
70,Amordad,f,Persian Mythology,Amordad f Persian MythologyModern Persian form of Ameretat.
71,Amulius,m,Roman Mythology,"Amulius m Roman MythologyMeaning unknown. In Roman mythology Amulius overthrew his brother Numitor, king of Alba Longa, but was eventually deposed by Numitor's grandsons Romulus and Remus."
72,Amun,m,Egyptian Mythology (Anglicized),Amun m Egyptian Mythology (Anglicized)Variant of Amon.
73,Amurdad,f,Persian Mythology,Amurdad f Persian MythologyMiddle Persian form of Ameretat.
74,An 2,m,Sumerian Mythology,"An 2 m Sumerian MythologyMeans ""heaven, sky"" in Sumerian. An was the supreme Sumerian god of the heavens, the father of Enlil and Enki. His cuneiform sign 𒀭 (dingir) was prefixed to the names of other deities in writing, though it was not pronounced."
75,Anahit,f,Armenian,"Anahit f Armenian, Armenian MythologyArmenian form of Anahita."
76,Anahita,f,Persian,"Anahita f Persian, Persian MythologyMeans ""immaculate, undefiled"" from Avestan a ""not"" and ahit ""unclean"". This was the name of the Persian goddess of fertility and water. She was sometimes identified with Artemis, Aphrodite and Athena."
77,Anaitis,f,Persian Mythology (Hellenized),Anaitis f Persian Mythology (Hellenized)Greek form of Anahita.
78,Ananta,m,Hinduism,"Ananta m & f HinduismMeans ""infinite, endless"" in Sanskrit. This is a transcription of both the masculine form अनन्त / अनंत (an epithet of the Hindu god Vishnu) and the feminine form अनन्ता / अनंता (an epithet of the goddess Parvati)."
79,Anapa,m,Egyptian Mythology (Hypothetical),Anapa m Egyptian Mythology (Hypothetical)Reconstructed Egyptian form of Anubis.
80,Anat 1,f,Semitic Mythology,"Anat 1 f Semitic MythologyPossibly derived from a Semitic root meaning ""water spring"". Anat was a goddess of fertility, hunting and war worshipped by the Semitic peoples of the Levant. She was the sister and consort of the god Hadad."
81,Anath 2,f,Semitic Mythology (Hellenized),Anath 2 f Semitic Mythology (Hellenized)Greek form of Anat 1.
82,Anatu,f,Semitic Mythology,Anatu f Semitic MythologyVariant of Anat 1.
83,Andraste,f,Celtic Mythology (Hellenized),"Andraste f Celtic Mythology (Hellenized)Possibly means ""invincible"" in Celtic. According to the Greco-Roman historian Cassius Dio, this was the name of a Briton goddess of victory who was invoked by Boudicca before her revolt."
84,Andromache,f,Greek Mythology,"Andromache f Greek MythologyDerived from the Greek elements ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός) and μάχη (mache) meaning ""battle"". In Greek legend she was the wife of the Trojan hero Hector. After the fall of Troy Neoptolemus killed her son Astyanax and took her as a concubine."
85,Andromeda,f,Greek Mythology,"Andromeda f Greek MythologyDerived from Greek ἀνήρ (aner) meaning ""man"" (genitive ἀνδρός) combined with one of the related words μέδομαι (medomai) meaning ""to be mindful of, to provide for"" or μέδω (medo) meaning ""to protect, to rule over"". In Greek mythology Andromeda was an Ethiopian princess rescued from sacrifice by the hero Perseus. A constellation in the northern sky is named for her. This is also the name of a nearby galaxy, given because it resides (from our point of view) within the constellation."
86,Angerona,f,Roman Mythology,"Angerona f Roman MythologyPossibly from Latin angor ""strangulation, torment"" or angustus ""narrow, constricted"". Angerona was the Roman goddess of the winter solstice, death, and silence."
87,Angharad,f,Welsh,"Angharad f Welsh, Welsh MythologyMeans ""more love"" in Welsh. In the Mabinogion, a collection of tales from Welsh myth, Angharad Golden-hand is the lover of Peredur."
88,Angra Mainyu,m,Persian Mythology,"Angra Mainyu m Persian MythologyMeans ""evil spirit"" in Avestan. In Persian mythology Angra Mainyu was the god of darkness, death and destruction, the enemy of Ahura Mazda."
89,Angrboða,f,Norse Mythology,"Angrboða f Norse MythologyMeans ""she who brings grief"" in Old Norse, derived from angr ""grief"" and boða ""to forebode, to proclaim"". In Norse mythology Angrboða is a giantess and the mother of three of Loki's children: Fenrir, Jörmungandr and Hel."
90,Anil,m,Hinduism,"Anil m Hinduism, Indian, Hindi, Marathi, Bengali, Punjabi, Gujarati, Telugu, Kannada, Malayalam, Tamil, NepaliDerived from Sanskrit अनिल (anila) meaning ""air, wind"". This is another name of Vayu, the Hindu god of the wind."
91,Aniruddha,m,Hinduism,"Aniruddha m Hinduism, Bengali, Indian, Marathi, HindiMeans ""unobstructed, ungovernable"" in Sanskrit. This is the name of the grandson of the Hindu god Krishna."
92,Anoubis,m,Egyptian Mythology (Hellenized),Anoubis m Egyptian Mythology (Hellenized)Greek form of Anapa (see Anubis).
93,Anthea,f,Greek Mythology (Latinized),"Anthea f Greek Mythology (Latinized)From the Greek Ἄνθεια (Antheia), derived from ἄνθος (anthos) meaning ""flower, blossom"". This was an epithet of the Greek goddess Hera."
94,Antheia,f,Greek Mythology,Antheia f Greek MythologyGreek form of Anthea.
95,Antigone,f,Greek Mythology,"Antigone f Greek MythologyDerived from Greek ἀντί (anti) meaning ""against, compared to, like"" and γονή (gone) meaning ""birth, offspring"". In Greek legend Antigone was the daughter of Oedipus and Jocasta. King Creon of Thebes declared that her slain brother Polynices was to remain unburied, a great dishonour. She disobeyed and gave him a proper burial, and for this she was sealed alive in a cave."
96,Antiope,f,Greek Mythology,"Antiope f Greek MythologyDerived from the Greek elements ἀντί (anti) meaning ""against, compared to, like"" and ὄψ (ops) meaning ""voice"". This was the name of several figures in Greek mythology, including a daughter of Ares who was one of the queens of the Amazons. She was kidnapped and married by Theseus."
97,Anu 2,m,Semitic Mythology,"Anu 2 m Semitic MythologyAkkadian, Assyrian and Babylonian form of An 2, also adopted by the Hurrians and Hittites."
98,Anubis,m,Egyptian Mythology (Latinized),"Anubis m Egyptian Mythology (Latinized)Latinized form of Ἄνουβις (Anoubis), the Greek form of Egyptian jnpw (reconstructed as Anapa and other forms), which coincided with a word meaning ""royal child, prince"". However, it might alternatively be derived from the root jnp meaning ""to decay"". Anubis was the Egyptian god who led the dead to the underworld. He was often depicted as a man with the head of a jackal. The Greeks equated him with their god Hermes."
99,Aodh,m,Irish,"Aodh m Irish, Scottish, Irish MythologyFrom the old Irish name Áed, which meant ""fire"". This was a very popular name in early Ireland, being borne by numerous figures in Irish mythology and several high kings. It has been traditionally Anglicized as Hugh."
100,Aodhán,m,Irish,"Aodhán m Irish, Scottish, Irish MythologyFrom the old Irish name Áedán meaning ""little fire"", a diminutive of Áed (see Aodh). This was the name of an Irish monk and saint of the 7th century. It was also borne by several characters in Irish mythology."
101,Aoede,f,Greek Mythology (Latinized),Aoede f Greek Mythology (Latinized)Latinized form of Aoide.
102,Aoide,f,Greek Mythology,"Aoide f Greek MythologyMeans ""song"" in Greek. In Greek mythology she was one of the original three muses, the muse of song."
103,Aoife,f,Irish,"Aoife f Irish, Irish MythologyMeans ""beauty"" from the Irish word aoibh, Old Irish óeb. In Irish legend Aoife was a warrior princess. In war against her sister Scathach, she was defeated in single combat by the hero Cúchulainn. Eventually she was reconciled with her sister and became the lover of Cúchulainn. This name is sometimes used as a Gaelic form of Eve or Eva."
104,Aonghus,m,Irish,"Aonghus m Irish, Scottish, Irish MythologyPossibly meaning ""one strength"" derived from Irish óen ""one"" and gus ""force, strength, energy"". Aonghus (sometimes surnamed Mac Og meaning ""young son"") was the Irish god of love and youth. The name was also borne by an 8th-century Pictish king and several Irish kings."
105,Aparna,f,Hinduism,"Aparna f Hinduism, Indian, Hindi, Marathi, Malayalam, Tamil, Kannada, Telugu, BengaliMeans ""leafless, not having eaten leaves"" in Sanskrit. This is another name of the Hindu goddess Parvati."
106,Aphrodite,f,Greek Mythology,"Aphrodite f Greek MythologyMeaning unknown, possibly of Phoenician origin. Aphrodite was the Greek goddess of love and beauty, identified with the Roman goddess Venus. She was the wife of Hephaestus and the mother of Eros, and she was often associated with the myrtle tree and doves. The Greeks connected her name with ἀφρός (aphros) meaning ""foam"", resulting in the story that she was born from the foam of the sea. Many of her characteristics are based on the goddess known as Ashtoreth to the Phoenicians and Ishtar to the Mesopotamian Semitic peoples, and on the Sumerian goddess Inanna."
107,Apis,m,Egyptian Mythology (Hellenized),"Apis m Egyptian Mythology (Hellenized)Greek form of Egyptian ḥjpw (reconstructed as Hapi), which is of unknown meaning. In Egyptian mythology he was a sacred bull, sometimes considered a son of Hathor. He was later fused with Osiris resulting in the figure of Serapis."
108,Apollo,m,Greek Mythology (Latinized),"Apollo m Greek Mythology (Latinized)From Greek Ἀπόλλων (Apollon), which is of unknown meaning, though perhaps related to Indo-European *apelo meaning ""strength"". Another theory states that Apollo can be equated with Appaliunas, an Anatolian god whose name possibly means ""father lion"" or ""father light"". The Greeks later associated Apollo's name with the Greek verb ἀπόλλυμι (apollymi) meaning ""to destroy"". In Greek mythology Apollo was the son of Zeus and Leto and the twin of Artemis. He was the god of prophecy, medicine, music, art, law, beauty, and wisdom. Later he also became the god of the sun and light."
109,Apollon,m,Greek Mythology,"Apollon m Greek Mythology, GreekGreek form of Apollo."
110,Ara,m,Armenian,"Ara m Armenian, Armenian MythologyMeaning unknown, possibly of Sumerian origin. In Armenian legend this was the name of an Armenian king who was so handsome that the Assyrian queen Semiramis went to war to capture him. During the war Ara was slain."
111,Arachne,f,Greek Mythology,"Arachne f Greek MythologyMeans ""spider"" in Greek. In Greek myth Arachne was a mortal woman who defeated Athena in a weaving contest. After this Arachne hanged herself, but Athena brought her back to life in the form of a spider."
112,Aramazd,m,Armenian Mythology,Aramazd m Armenian MythologyFrom a combination of the mythological figures Ara and Ahura Mazda. This was the name of the supreme creator god in pre-Christian Armenian mythology.
113,Aranrhod,f,Welsh,"Aranrhod f Welsh, Welsh MythologyVariant of Arianrhod."
114,Arash,m,Persian,"Arash m Persian, Persian MythologyPossibly means either ""truthfulness"" or ""bright"" in Persian. In Persian legend Arash was a Persian archer who was ordered by the Turans to shoot an arrow, the landing place of which would determine the new location of the Persian-Turan border. Arash climbed a mountain and fired his arrow with such strength that it flew for several hours and landed on the banks of the far-away Oxus River."
115,Arawn,m,Welsh Mythology,"Arawn m Welsh MythologyMeaning unknown. This was the name of the god of the underworld, called Annwfn, in Welsh mythology."
116,Ares,m,Greek Mythology,"Ares m Greek MythologyPerhaps from either Greek ἀρή (are) meaning ""bane, ruin"" or ἄρσην (arsen) meaning ""male"". The name first appears as a-re in Mycenaean Greek writing. Ares was the bloodthirsty god of war in Greek mythology, a son of Zeus and Hera."
117,Arete,f,Greek Mythology,"Arete f Greek Mythology, Ancient GreekMeans ""virtue"" in Greek. In Greek mythology Arete was the personification of virtue and excellence."
118,Arethousa,f,Greek Mythology,Arethousa f Greek MythologyGreek form of Arethusa.
119,Arethusa,f,Greek Mythology (Latinized),"Arethusa f Greek Mythology (Latinized)From Greek Ἀρέθουσα (Arethousa) meaning ""quick water"", which is possibly derived from ἄρδω (ardo) meaning ""water"" and θοός (thoos) meaning ""quick, nimble"". This was the name of a nymph in Greek mythology who was transformed into a fountain."
120,Argos,m,Greek Mythology,Argos m Greek MythologyGreek form of Argus.
121,Argus,m,Greek Mythology (Latinized),"Argus m Greek Mythology (Latinized)From the Greek Ἄργος (Argos), derived from ἀργός (argos) meaning ""glistening, shining"". This name was borne by several characters from Greek myth, including the man who built the Argo and a giant with one hundred eyes."
122,Ariadne,f,Greek Mythology,"Ariadne f Greek MythologyMeans ""most holy"", composed of the Greek prefix ἀρι (ari) meaning ""most"" combined with Cretan Greek ἀδνός (adnos) meaning ""holy"". In Greek mythology, Ariadne was the daughter of King Minos. She fell in love with Theseus and helped him to escape the Labyrinth and the Minotaur, but was later abandoned by him. Eventually she married the god Dionysus."
123,Arianrhod,f,Welsh,"Arianrhod f Welsh, Welsh MythologyPossibly means ""silver wheel"" or ""round wheel"" in Welsh. In Welsh myth Arianrhod was the mother of the brothers Dylan and Lleu Llaw Gyffes. In earlier myths she was a goddess of the moon."
124,Aries,m,Roman Mythology,"Aries m Roman MythologyMeans ""ram"" in Latin. This is the name of a constellation and the first sign of the zodiac. Some Roman legends state that the ram in the constellation was the one who supplied the Golden Fleece sought by Jason."
125,Aristaeus,m,Greek Mythology (Latinized),"Aristaeus m Greek Mythology (Latinized)From the Greek name Ἀρισταῖος (Aristaios), derived from ἄριστος (aristos) meaning ""best"". This was the name of a minor Greek god of agriculture, hunting and cattle. He was the son of Apollo and the mortal Cyrene."
126,Aristaios,m,Greek Mythology,Aristaios m Greek MythologyGreek form of Aristaeus.
127,Aristodemos,m,Ancient Greek,"Aristodemos m Ancient Greek, Greek MythologyDerived from the Greek elements ἄριστος (aristos) meaning ""best"" and δῆμος (demos) meaning ""the people"". This was the name of a descendant of Herakles in Greek legend."
128,Arjuna,m,Hinduism,"Arjuna m HinduismMeans ""white, clear"" in Sanskrit. This is the name of a hero in Hindu texts, the son of the god Indra and the princess Kunti."
129,Armazi,m,Georgian Mythology,Armazi m Georgian MythologyPossibly related to the name of the Armenian god Aramazd or the Zoroastrian god Ahura Mazda. In pre-Christian Georgian mythology Armazi was the supreme god.
130,Artemis,f,Greek Mythology,"Artemis f Greek Mythology, GreekMeaning unknown, possibly related either to Greek ἀρτεμής (artemes) meaning ""safe"" or ἄρταμος (artamos) meaning ""a butcher"". Artemis was the Greek goddess of the moon and hunting, the twin of Apollo and the daughter of Zeus and Leto. She was known as Diana to the Romans."
131,Arthur,m,English,"Arthur m English, French, German, Dutch, Norwegian, Danish, Swedish, Welsh Mythology, Arthurian RomanceThe meaning of this name is unknown. It could be derived from the Celtic elements artos ""bear"" combined with viros ""man"" or rigos ""king"". Alternatively it could be related to an obscure Roman family name Artorius.... [more]"
132,Aruna,m,Hinduism,"Aruna m & f Hinduism, Indian, Telugu, Tamil, Kannada, Malayalam, HindiMeans ""reddish brown, dawn"" in Sanskrit. The Hindu god Aruna (अरुण) is the charioteer who drives the sun god Surya across the sky. The modern feminine form अरुणा is also transcribed as Aruna, however the modern masculine form is Arun."
